Date,Open,High,Low,Close,Adj Close,Volume,Day
2022-09-26,3630,3670,3605,3610,3580.425049,735700,1
2022-09-27,3630,3785,3610,3760,3729.196289,1183900,2
2022-09-28,3720,3780,3670,3765,3734.155273,1439100,3
2022-09-29,3760,3820,3720,3800,3792.033691,912700,4
2022-09-30,3780,3800,3590,3640,3632.369141,1355500,5
2022-10-03,3600,3620,3500,3600,3592.452881,844000,6
2022-10-04,3610,3745,3610,3745,3737.148926,826700,7
2022-10-05,3750,3810,3700,3740,3732.159424,884100,8
2022-10-06,3775,3810,3750,3760,3752.117432,638200,9
2022-10-07,3725,3820,3700,3810,3802.012695,974400,10
2022-10-11,3765,3815,3730,3740,3732.159424,673200,11
2022-10-12,3720,3720,3565,3590,3582.473877,1009000,12
2022-10-13,3605,3620,3500,3515,3507.631104,952500,13
2022-10-14,3585,3640,3550,3630,3622.390137,827100,14
2022-10-17,3585,3660,3560,3645,3637.358643,718200,15
2022-10-18,3680,3730,3665,3725,3717.190918,707700,16
2022-10-19,3715,3745,3685,3700,3692.243164,510200,17
2022-10-20,3665,3755,3645,3745,3737.148926,780600,18
2022-10-21,3750,3805,3745,3750,3742.138428,756800,19
2022-10-24,3765,3795,3735,3750,3742.138428,542500,20
2022-10-25,3740,3740,3655,3730,3722.18042,945000,21
2022-10-26,3775,3825,3755,3805,3797.023193,1019900,22
2022-10-27,3955,4135,3905,4105,4096.394043,3612200,23
2022-10-28,4155,4300,4095,4105,4096.394043,2728300,24
2022-10-31,4125,4200,4090,4145,4136.310547,1104500,25
2022-11-01,4175,4280,4150,4270,4261.04834,846000,26
2022-11-02,4260,4315,4185,4265,4256.058594,1114100,27
2022-11-04,4265,4285,4175,4195,4186.205566,1015000,28
2022-11-07,4200,4285,4195,4225,4216.142578,550200,29
2022-11-08,4225,4370,4225,4335,4325.912109,821700,30
2022-11-09,4335,4350,4235,4265,4256.058594,1150600,31
2022-11-10,4290,4365,4255,4345,4335.891113,843600,32
2022-11-11,4410,4440,4370,4415,4405.744141,679700,33
2022-11-14,4395,4425,4350,4375,4365.828125,768000,34
2022-11-15,4410,4410,4275,4300,4290.985352,1134500,35
2022-11-16,4320,4375,4275,4345,4335.891113,732100,36
2022-11-17,4415,4430,4340,4400,4390.775879,549000,37
2022-11-18,4410,4475,4375,4465,4455.639648,769100,38
2022-11-21,4500,4510,4370,4400,4390.775879,745300,39
